Course Code,Course Title,Track Name,Department Code,Status,Insert Query
ACON-SAPFCMI,ACONS SAP FICO-Cross Module Integration,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('ACON-SAPFCMI', 'ACONS SAP FICO-Cross Module Integration')"
ACON-SAPFIAP,ACONS SAP FICO-Accounts Payable,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('ACON-SAPFIAP', 'ACONS SAP FICO-Accounts Payable')"
ACON-SAPFIAR,ACONS SAP FICO-Accounts Receivables,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('ACON-SAPFIAR', 'ACONS SAP FICO-Accounts Receivables')"
ACON-SAPFICO,ACONS SAP FICO TRAINING,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('ACON-SAPFICO', 'ACONS SAP FICO TRAINING')"
ACON-SAPSD,ACONS SAP SD TRAINING,CSI Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('ACON-SAPSD', 'ACONS SAP SD TRAINING')"
AGL1001,Programming Scala,Java,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1001', 'Programming Scala')"
AGL1002,Programming with Groovy,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1002', 'Programming with Groovy')"
AGL1003,Programming with Grails,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1003', 'Programming with Grails')"
AGL1004,Programming with Python,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1004', 'Programming with Python')"
AGL1005,Programming with Django,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1005', 'Programming with Django')"
AGL1006,Object Oriented Programming with Ruby,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1006', 'Object Oriented Programming with Ruby')"
AGL1007,Intro to Ruby on Rails,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1007', 'Intro to Ruby on Rails')"
AGL1008,Introduction to Groovy,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1008', 'Introduction to Groovy')"
AGL1009,Introduction to Groovy on Grails,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1009', 'Introduction to Groovy on Grails')"
AGL1010,Introduction to Scala Programming,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1010', 'Introduction to Scala Programming')"
AGL1011,Play framework for Scala Developers_AGL1011,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1011', 'Play framework for Scala Developers_AGL1011')"
AGL1012,System and Network Prog using Python,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1012', 'System and Network Prog using Python')"
AGL1013,Cucumber - BDD,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1013', 'Cucumber - BDD')"
AGL1014,Introduction to Python and Django,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1014', 'Introduction to Python and Django')"
AGL1015,BDD using Jbehave,Markup & Scripting Languages,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('AGL1015', 'BDD using Jbehave')"
APP1009,Apple: Objective-C,Apple,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('APP1009', 'Apple: Objective-C')"
