Code,Title,
ATLANTA,ATLANTA,"insert into dbo.Locations([Code], [Title]) values('ATLANTA', 'ATLANTA')"
Basel,ZURICH,"insert into dbo.Locations([Code], [Title]) values('Basel', 'ZURICH')"
BASKINGRIDGE,Basking Ridge,"insert into dbo.Locations([Code], [Title]) values('BASKINGRIDGE', 'Basking Ridge')"
BBSR1STP,BHUBANESWAR,"insert into dbo.Locations([Code], [Title]) values('BBSR1STP', 'BHUBANESWAR')"
BBSR2STP,Bhubaneswar,"insert into dbo.Locations([Code], [Title]) values('BBSR2STP', 'Bhubaneswar')"
BELLEVUE,Bellevue,"insert into dbo.Locations([Code], [Title]) values('BELLEVUE', 'Bellevue')"
BENTONVILLE,Bentonville,"insert into dbo.Locations([Code], [Title]) values('BENTONVILLE', 'Bentonville')"
BLRJPTowers,Bangalore,"insert into dbo.Locations([Code], [Title]) values('BLRJPTowers', 'Bangalore')"
BLRMNCBLD,Bangalore,"insert into dbo.Locations([Code], [Title]) values('BLRMNCBLD', 'Bangalore')"
BRBELOHORI01,NOVA LIMA-MG,"insert into dbo.Locations([Code], [Title]) values('BRBELOHORI01', 'NOVA LIMA-MG')"
BrisbaneIL,Brisbane,"insert into dbo.Locations([Code], [Title]) values('BrisbaneIL', 'Brisbane')"
CANARY WHARF,LONDON,"insert into dbo.Locations([Code], [Title]) values('CANARY WHARF', 'LONDON')"
CHARLOTTE,CHARLOTTE,"insert into dbo.Locations([Code], [Title]) values('CHARLOTTE', 'CHARLOTTE')"
CHD_SEZ,CHANDIGARH,"insert into dbo.Locations([Code], [Title]) values('CHD_SEZ', 'CHANDIGARH')"
CHD_STP,CHANDIGARH,"insert into dbo.Locations([Code], [Title]) values('CHD_STP', 'CHANDIGARH')"
CHENNAISTP,CHENNAI,"insert into dbo.Locations([Code], [Title]) values('CHENNAISTP', 'CHENNAI')"
CHICAGO,Lisle,"insert into dbo.Locations([Code], [Title]) values('CHICAGO', 'Lisle')"
CHICAGODC,Lisle,"insert into dbo.Locations([Code], [Title]) values('CHICAGODC', 'Lisle')"
FRANCE,PARIS,"insert into dbo.Locations([Code], [Title]) values('FRANCE', 'PARIS')"
FRANKFURT,Frankfurt,"insert into dbo.Locations([Code], [Title]) values('FRANKFURT', 'Frankfurt')"
Glastonbury,Glastonbury,"insert into dbo.Locations([Code], [Title]) values('Glastonbury', 'Glastonbury')"
