Code,CustomerCode,
3LNDKREN,RELNGGSD,"insert into dbo.Projects([Code], [CustomerCode]) values('3LNDKREN', 'RELNGGSD')"
3LNOLDBE,RELNGGSD,"insert into dbo.Projects([Code], [CustomerCode]) values('3LNOLDBE', 'RELNGGSD')"
760ENGSZ,CF-BCBS,"insert into dbo.Projects([Code], [CustomerCode]) values('760ENGSZ', 'CF-BCBS')"
AABME72F,ABN-BUNL,"insert into dbo.Projects([Code], [CustomerCode]) values('AABME72F', 'ABN-BUNL')"
AAMMFPPA,ABN-BUNL,"insert into dbo.Projects([Code], [CustomerCode]) values('AAMMFPPA', 'ABN-BUNL')"
AB350LGS,AIRBUS,"insert into dbo.Projects([Code], [CustomerCode]) values('AB350LGS', 'AIRBUS')"
AB380LG1,AIRBUS,"insert into dbo.Projects([Code], [CustomerCode]) values('AB380LG1', 'AIRBUS')"
ABBACAD2,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBACAD2', 'ABB')"
ABBACDZ2,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBACDZ2', 'ABB')"
ABBBFSTP,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBBFSTP', 'ABB')"
ABBC2STP,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBC2STP', 'ABB')"
ABBC2SZ1,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBC2SZ1', 'ABB')"
ABBC2SZ2,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBC2SZ2', 'ABB')"
ABBFAENG,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBFAENG', 'ABB')"
ABBIPSTP,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBIPSTP', 'ABB')"
ABBM1STP,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBM1STP', 'ABB')"
ABBM1SZ1,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBM1SZ1', 'ABB')"
ABBM1SZ2,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBM1SZ2', 'ABB')"
ABBPC1ST,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBPC1ST', 'ABB')"
ABBPC1SZ,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBPC1SZ', 'ABB')"
ABBT2STP,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBT2STP', 'ABB')"
ABBT2SZ1,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBT2SZ1', 'ABB')"
ABBT2SZ2,ABB,"insert into dbo.Projects([Code], [CustomerCode]) values('ABBT2SZ2', 'ABB')"
ABHATENG,AIRBUSFR,"insert into dbo.Projects([Code], [CustomerCode]) values('ABHATENG', 'AIRBUSFR')"
ABIDCC,AIRBUS,"insert into dbo.Projects([Code], [CustomerCode]) values('ABIDCC', 'AIRBUS')"
ABIDLPOC,AIRBUSFR,"insert into dbo.Projects([Code], [CustomerCode]) values('ABIDLPOC', 'AIRBUSFR')"
ABIDNSTE,AIRBUSFR,"insert into dbo.Projects([Code], [CustomerCode]) values('ABIDNSTE', 'AIRBUSFR')"
ABIDNSZE,AIRBUSFR,"insert into dbo.Projects([Code], [CustomerCode]) values('ABIDNSZE', 'AIRBUSFR')"
ABINSEBU,AIRBUSFR,"insert into dbo.Projects([Code], [CustomerCode]) values('ABINSEBU', 'AIRBUSFR')"
ABLGSYS,AIRBUS,"insert into dbo.Projects([Code], [CustomerCode]) values('ABLGSYS', 'AIRBUS')"
